cross_street_name,crimename1,crime_count
PRICE AVE,Crime Against Society,4
PRICHARD RD,Crime Against Property,2
PRINCE GEORGES AVE,Crime Against Property,8
PRINCE GEORGES AVE,Crime Against Society,1
PROFESSIONAL DR,Crime Against Property,2
PROFESSIONAL DR,Crime Against Society,3
QUEBEC ST,Crime Against Person,3
QUEBEC ST,Crime Against Property,5
QUEBEC ST,Crime Against Society,2
QUEENSGUARD RD,Crime Against Society,2
QUINCE ORCHARD BLVD,Crime Against Person,11
QUINCE ORCHARD BLVD,Crime Against Property,25
QUINCE ORCHARD BLVD,Crime Against Society,15
QUINCE ORCHARD RD,Crime Against Person,1
QUINCE ORCHARD RD,Crime Against Property,2
QUINCE ORCHARD RD,Crime Against Society,22
RAILROAD ST,Crime Against Society,2
RAMP 2 FR IS 495 WB TO MD 650 NB,Crime Against Society,1
RAMP 4 FR MD 355 NB TO IS 495 EB,Crime Against Person,1
RAMP 4 FR MD 355 NB TO IS 495 EB,Crime Against Property,1
RAMP 5 FR MD 97 SB TO IS 495 EB,Crime Against Person,1
RAMP 5 FR MD 97 SB TO IS 495 EB,Crime Against Society,3
RAMP 6 FR MD 117 EB TO IS 270 SB,Crime Against Property,2
RAMP 6 FR MD 198 EB TO US 29 SB,Crime Against Property,10
RAMP 6 FR MD 198 EB TO US 29 SB,Crime Against Society,3
RAMP 7 FR MD 117 WB TO RAMP 6 (TO IS270),Crime Against Property,2
RANDOLPH RD,Crime Against Person,8
RANDOLPH RD,Crime Against Property,8
RANDOLPH RD,Crime Against Society,12
REDLAND BLVD,Crime Against Person,26
REDLAND BLVD,Crime Against Property,165
REDLAND BLVD,Crime Against Society,5
REDLAND RD,Crime Against Person,5
REDLAND RD,Crime Against Property,41
REDLAND RD,Crime Against Society,5
REDLAND RD (AHEAD),Crime Against Person,1
REDLAND RD (AHEAD),Crime Against Property,13
REDLAND RD (AHEAD),Crime Against Society,1
RESEARCH BLVD,Crime Against Person,9
RESEARCH BLVD,Crime Against Property,37
RESEARCH BLVD,Crime Against Society,8
RESEARCH CT,Crime Against Society,1
RESERVE CHAMPION DR,Crime Against Property,2
RIDGE RD,Crime Against Person,2
RIDGE RD,Crime Against Property,3
RIDGE RD,Crime Against Society,3
RIDGEMONT AVE,Crime Against Person,1
RIDGEMONT AVE,Crime Against Property,11
RIPPLING BROOK DR,Crime Against Person,4
RIPPLING BROOK DR,Crime Against Property,2
RIPPLING BROOK DR,Crime Against Society,1
RIVER RD,Crime Against Property,1
ROAD END,Crime Against Property,1
ROAD END,Crime Against Society,1
ROCKLEDGE BLVD,Crime Against Property,4
ROCKLEDGE BLVD,Crime Against Society,1
ROCKLEDGE DR,Crime Against Person,1
ROCKLEDGE DR,Crime Against Property,4
ROCKLEDGE DR,Crime Against Society,1
ROCKVILLE PIKE,Crime Against Person,1
ROCKVILLE PIKE,Crime Against Property,4
ROCKVILLE PIKE,Crime Against Society,1
ROCKY RIDGE LA,Crime Against Person,1
RODNEY RD,Crime Against Person,2
ROLLINS AVE,Crime Against Person,6
ROLLINS AVE,Crime Against Property,34
ROLLINS AVE,Crime Against Society,3
ROSEDALE AVE,Crime Against Person,3
ROSEDALE AVE,Crime Against Property,18
ROSEDALE AVE,Crime Against Society,3
ROSEWOOD MANOR LA,Crime Against Property,6
ROSEWOOD MANOR LA,Crime Against Society,1
ROTHGEB DR,Crime Against Person,1
ROTHGEB DR,Crime Against Society,1
ROUND HILL RD,Crime Against Person,2
ROUNDABOUT,Crime Against Person,5
ROUNDABOUT,Crime Against Property,96
RUSSELL AVE,Crime Against Person,16
RUSSELL AVE,Crime Against Property,48
RUSSELL AVE,Crime Against Society,133
RUTGERS ST,Crime Against Not a Crime,1
RUTGERS ST,Crime Against Property,13
RUTGERS ST,Crime Against Society,5
RYLAND DR,Crime Against Society,1
S MANOR CIR,Crime Against Property,3
S PARK AVE,Crime Against Person,5
S PARK AVE,Crime Against Property,42
S PARK AVE,Crime Against Society,1
S WASHINGTON ST,Crime Against Property,1
S WESTLAND DR,Crime Against Property,2
SANDY SPRING RD,Crime Against Property,1
SAUL RD,Crime Against Property,1
SAUNDERS LA,Crime Against Society,1
SCENERY DR,Crime Against Person,22
SCENERY DR,Crime Against Property,20
SCENERY DR,Crime Against Society,57
SCHUYLER RD,Crime Against Not a Crime,1
SCHUYLER RD,Crime Against Property,3
SECOND AVE,Crime Against Property,1
SELFRIDGE RD,Crime Against Person,5
SELFRIDGE RD,Crime Against Property,13
SELFRIDGE RD,Crime Against Society,1
SELKIRK DR,Crime Against Property,4
SELLMAN RD,Crime Against Property,1
SEMINARY RD,Crime Against Property,18
SERPENTINE WAY,Crime Against Property,1
SEVEN LOCKS RD,Crime Against Person,4
SEVEN LOCKS RD,Crime Against Property,9
SEVEN LOCKS RD,Crime Against Society,30
SEVERN RD,Crime Against Person,1
SEVERN RD,Crime Against Society,6
SHADY GROVE RD,Crime Against Person,1
SHADY GROVE RD,Crime Against Property,5
SHADY GROVE RD,Crime Against Society,1
SHAKESPEARE BLVD,Crime Against Person,51
SHAKESPEARE BLVD,Crime Against Property,1866
SHAKESPEARE BLVD,Crime Against Society,117
SHEARWATER PL,Crime Against Person,17
SHEARWATER PL,Crime Against Property,5
SHEARWATER PL,Crime Against Society,19
SHEPHERD ST,Crime Against Property,2
SHOREFIELD RD,Crime Against Person,4
SHOREFIELD RD,Crime Against Property,8
SHOREFIELD RD,Crime Against Society,8
SLIGO AVE,Crime Against Person,10
SLIGO AVE,Crime Against Property,78
SLIGO AVE,Crime Against Society,24
SNOUFFERS SCHOOL RD,Crime Against Person,4
SNOUFFERS SCHOOL RD,Crime Against Property,4
SOAPSTONE LA,Crime Against Property,2
SOMERSET TERRACE,Crime Against Property,1
SONOMA RD,Crime Against Property,1
SOUTH DR,Crime Against Property,1
SOUTHLAWN LA,Crime Against Property,1
SOUTHLAWN LA,Crime Against Society,1
SOUTHWOOD AVE,Crime Against Property,4
SOUTHWOOD DR,Crime Against Property,1
SPARTAN RD,Crime Against Property,2
SPRING ST,Crime Against Person,13
SPRING ST,Crime Against Property,60
SPRING ST,Crime Against Society,34
SPUR HILL DR,Crime Against Property,4
SPUR HILL DR,Crime Against Society,1
SPUR TO MONTGOMERY VILLAGE AVE,Crime Against Person,3
SPUR TO MONTGOMERY VILLAGE AVE,Crime Against Property,5
SPUR TO MONTGOMERY VILLAGE AVE,Crime Against Society,26
SPUR TO ODENDHAL AVE,Crime Against Property,9
SPUR TO RAMP 6 FR MD 198 EB TO US 29 SB,Crime Against Property,10
SPUR TO RAMP 6 FR MD 198 EB TO US 29 SB,Crime Against Society,3
STEDWICK RD,Crime Against Person,17
STEDWICK RD,Crime Against Property,30
STEDWICK RD,Crime Against Society,8
STEWART AVE,Crime Against Property,1
STEWART LA,Crime Against Property,2
STONEGATE DR,Crime Against Property,6
STRINGTOWN RD,Crime Against Property,4
STRINGTOWN RD,Crime Against Society,2
SULLNICK WAY,Crime Against Property,1
SUMMIT HALL RD,Crime Against Person,1
SUMMIT HALL RD,Crime Against Property,8
SUNDALE DR,Crime Against Property,4
SUTHERLAND RD,Crime Against Person,2
SUTHERLAND RD,Crime Against Property,8
SYCAMORE LA,Crime Against Property,1
SYCAMORE LA,Crime Against Society,1
TALBOTT ST,Crime Against Person,2
TALBOTT ST,Crime Against Property,6
TAYLOR ST,Crime Against Property,1
TEMPLETON PL,Crime Against Property,3
TENBROOK DR,Crime Against Property,1
THAYER AVE,Crime Against Person,23
THAYER AVE,Crime Against Property,324
THAYER AVE,Crime Against Society,23
THE HILLS PLAZA,Crime Against Property,1
TILDEN LA,Crime Against Person,6
TILDEN LA,Crime Against Property,54
TILDEN LA,Crime Against Society,2
TOWN CENTER DR,Crime Against Property,1
TOWN COMMONS BLVD,Crime Against Property,2
TRIANGLE LA,Crime Against Person,1
TRIANGLE LA,Crime Against Property,2
TRIANGLE LA,Crime Against Society,4
TUCKERMAN LA,Crime Against Person,1
TUCKERMAN LA,Crime Against Property,39
TWIG RD,Crime Against Not a Crime,1
TWIG RD,Crime Against Person,1
TWIG RD,Crime Against Property,1
TWIG RD,Crime Against Society,1
TWINBROOK PKWY,Crime Against Person,5
TWINBROOK PKWY,Crime Against Property,60
TWINBROOK PKWY,Crime Against Society,4
UNIVERSITY BLVD E,Crime Against Person,19
UNIVERSITY BLVD E,Crime Against Property,123
UNIVERSITY BLVD E,Crime Against Society,26
UNIVERSITY BLVD W,Crime Against Person,11
UNIVERSITY BLVD W,Crime Against Property,166
UNIVERSITY BLVD W,Crime Against Society,27
VALLEY BEND DR,Crime Against Property,2
VEIRS MILL RD,Crime Against Property,2
VEITCH LA,Crime Against Property,1
VENICE DR,Crime Against Property,2
W BEXHILL DR,Crime Against Person,1
W DIAMOND AVE,Crime Against Person,9
W DIAMOND AVE,Crime Against Property,97
W DIAMOND AVE,Crime Against Society,16
W EDMONSTON DR,Crime Against Not a Crime,1
W EDMONSTON DR,Crime Against Person,5
W EDMONSTON DR,Crime Against Property,47
W EDMONSTON DR,Crime Against Society,6
W GUDE DR,Crime Against Property,3
W MONTGOMERY AVE,Crime Against Property,4
W WATKINS MILL RD,Crime Against Society,1
WALHONDING RD,Crime Against Property,1
WALKER AVE,Crime Against Property,4
WALKERS CHOICE RD,Crime Against Property,1
WALKERS CHOICE RD,Crime Against Society,1
WALTER JOHNSON RD,Crime Against Property,7
WARFIELD RD,Crime Against Property,1
WARING STATION RD,Crime Against Person,1
WARING STATION RD,Crime Against Property,5
WARING STATION RD,Crime Against Society,8
WASHINGTON GROVE LA,Crime Against Property,1
WASHINGTONIAN BLVD,Crime Against Person,2
WASHINGTONIAN BLVD,Crime Against Property,8
WATERS LANDING DR,Crime Against Person,1
WATERS LANDING DR,Crime Against Property,2
WATKINS MILL RD,Crime Against Person,7
WATKINS MILL RD,Crime Against Property,47
WATKINS MILL RD,Crime Against Society,29
WAYNE AVE,Crime Against Person,26
WAYNE AVE,Crime Against Property,170
WAYNE AVE,Crime Against Society,24
WESLEY CT,Crime Against Property,1
WESSEX RD,Crime Against Property,2
WESTLAKE DR,Crime Against Property,11
WHETSTONE DR,Crime Against Person,13
WHETSTONE DR,Crime Against Property,40
WHETSTONE DR,Crime Against Society,6
WHITTIER BLVD,Crime Against Person,1
WIGHTMAN RD,Crime Against Property,1
WIGHTMAN RD,Crime Against Society,3
WILKINS AVE,Crime Against Property,3
WILLARD AVE,Crime Against Person,2
WILLARD AVE,Crime Against Property,10
WILLARD AVE,Crime Against Society,1
WILSON DR,Crime Against Property,1
WILSON LA,Crime Against Person,3
WILSON LA,Crime Against Property,1
WILSON LA,Crime Against Society,3
WINDHAM LA,Crime Against Person,8
WINDHAM LA,Crime Against Property,13
WINDHAM LA,Crime Against Society,1
WINTERSET DR,Crime Against Property,2
WISCONSIN AVE,Crime Against Property,2
WOLF DR,Crime Against Person,2
WOLF DR,Crime Against Property,48
WOLF DR,Crime Against Society,3
WOODFIELD RD,Crime Against Person,3
WOODFIELD RD,Crime Against Property,7
WOODFIELD RD,Crime Against Society,3
WOODLAND AVE,Crime Against Property,1
WOODMONT AVE,Crime Against Property,1
WOODSIDE PKWY,Crime Against Person,2
WOOTTON PKWY,Crime Against Person,1
WOOTTON PKWY,Crime Against Property,2
YALE PL,Crime Against Person,5
YALE PL,Crime Against Property,8
YALE PL,Crime Against Society,2
YELLOWSTONE WAY,Crime Against Person,2
ZION RD,Crime Against Property,1
