cross_street_name,crimename1,crime_count
CENTURY BLVD,Crime Against Society,4
CHAPMAN AVE,Crime Against Person,8
CHAPMAN AVE,Crime Against Property,23
CHAPMAN AVE,Crime Against Society,4
CHELTENHAM DR,Crime Against Person,12
CHELTENHAM DR,"Crime Against Person, Property, or Society",2
CHELTENHAM DR,Crime Against Property,35
CHELTENHAM DR,Crime Against Society,2
CHESTER MILL RD,Crime Against Property,1
CHESTNUT AVE,Crime Against Property,1
CHILDS ST,Crime Against Property,1
CHRISTOPHER AVE,Crime Against Property,1
CHRISTOPHER AVE,Crime Against Society,3
CHURUBUSCO LA,Crime Against Property,2
CINNAMON DR,Crime Against Property,3
CLARKSBURG RD,Crime Against Property,1
CLOPPER RD,Crime Against Person,12
CLOPPER RD,Crime Against Property,18
CLOPPER RD,Crime Against Society,8
CLOVERLEAF CENTER DR,Crime Against Person,1
CLOVERLEAF CENTER DR,Crime Against Property,3
CLOVERLEAF CENTER DR,Crime Against Society,2
CLOVERLY ST,Crime Against Person,3
CLOVERLY ST,Crime Against Property,11
CLOVERLY ST,Crime Against Society,4
CLUB HOUSE RD,Crime Against Not a Crime,1
CLUB HOUSE RD,Crime Against Person,10
CLUB HOUSE RD,Crime Against Property,15
CLUB HOUSE RD,Crime Against Society,10
CLUB LAKE RD,Crime Against Society,1
COLESVILLE RD,Crime Against Person,107
COLESVILLE RD,Crime Against Property,451
COLESVILLE RD,Crime Against Society,64
COLLEGE PKWY,Crime Against Person,7
COLLEGE PKWY,Crime Against Property,39
COLLEGE PKWY,Crime Against Society,4
COLUMBIA PIKE,Crime Against Property,4
COLUMBIA PIKE,Crime Against Society,11
CONGRESSIONAL LA,Crime Against Person,3
CONGRESSIONAL LA,Crime Against Property,4
CONGRESSIONAL LA,Crime Against Society,3
CONNECTICUT AVE,Crime Against Person,11
CONNECTICUT AVE,Crime Against Property,41
CONNECTICUT AVE,Crime Against Society,4
COTTRELL TERR,Crime Against Person,1
COTTRELL TERR,Crime Against Property,1
COTTRELL TERR,Crime Against Society,2
COUNTRY RIDGE DR,Crime Against Property,1
CRABB AVE,Crime Against Property,4
CRABBS BRANCH WAY,Crime Against Property,2
CRABBS BRANCH WAY,Crime Against Society,1
CRAIGLAWN RD,Crime Against Property,5
CRAWFORD DR,Crime Against Property,1
CRESTED IRIS DR,Crime Against Property,6
CROSSING CREEK RD,Crime Against Society,1
CROSSOVER,Crime Against Property,11
CRYSTAL ROCK DR (AHEAD),Crime Against Person,2
CRYSTAL ROCK DR (AHEAD),Crime Against Property,16
CRYSTAL ROCK DR (AHEAD),Crime Against Society,7
CUL DE SAC,Crime Against Property,4
CUL DE SAC,Crime Against Society,1
CYPRESS SPRING RD,Crime Against Property,2
DAMASCUS RD,Crime Against Property,1
DAVIS MILL RD,Crime Against Person,2
DAVIS MILL RD,Crime Against Society,2
DAWSON AVE,Crime Against Person,6
DAWSON AVE,Crime Against Property,34
DAWSON AVE,Crime Against Society,5
DEAN RD,Crime Against Person,1
DEAN RD,Crime Against Property,1
DECATUR AVE,Crime Against Property,1
DENNIS AVE,Crime Against Property,1
DIAMONDBACK DR,Crime Against Person,2
DIAMONDBACK DR,Crime Against Property,21
DIAMONDBACK DR,Crime Against Society,3
DIXON AVE,Crime Against Person,4
DIXON AVE,Crime Against Property,8
DIXON AVE,Crime Against Society,2
DUFIEF DR,Crime Against Property,1
E DIAMOND AVE,Crime Against Person,12
E DIAMOND AVE,Crime Against Property,68
E DIAMOND AVE,Crime Against Society,8
E GUDE DR,Crime Against Person,1
E GUDE DR,Crime Against Property,4
E JEFFERSON ST,Crime Against Person,2
E JEFFERSON ST,Crime Against Property,7
E MELBOURNE AVE,Crime Against Property,1
E MIDDLE LA,Crime Against Person,8
E MIDDLE LA,Crime Against Property,22
E MIDDLE LA,Crime Against Society,14
E MONTGOMERY AVE AT COURTHOUSE SQ,Crime Against Property,9
E MONTGOMERY AVE AT COURTHOUSE SQ,Crime Against Society,3
E RANDOLPH RD,Crime Against Property,4
EAST WEST HWY,Crime Against Person,7
EAST WEST HWY,Crime Against Property,27
EDGEMOOR LA,Crime Against Person,2
EDGEMOOR LA,Crime Against Property,1
EDMONSTON DR,Crime Against Property,12
EDMONSTON DR,Crime Against Society,1
ELDRID DR,Crime Against Property,2
ELKIN ST,Crime Against Property,3
ELLSWORTH DR,Crime Against Person,10
ELLSWORTH DR,Crime Against Property,41
ELLSWORTH DR,Crime Against Society,5
ELM AVE,Crime Against Property,2
ELM ST,Crime Against Person,2
ELM ST,Crime Against Property,11
ELM ST,Crime Against Society,1
ELMCROFT BLVD,Crime Against Property,7
